Applicant Name,ESD Region,Type of Business,Track,Jobs When Certified,Net New Jobs Commitment,Investment Commitment,Research and Development Commitment,Maximum Tax Credits
"LBi Software, Incorporated",LI,Software Dev,Jobs Track,0,0,0.00,0.00,"300,000.00"
"LIF Industries, Inc.",LI,Manufacturing,Jobs Track,334,21,"11,000,000.00",0.00,"500,000.00"
"LNK International, Inc.",LI,Manufacturing,Jobs Track,"1,479",135,0.00,0.00,"2,000,000.00"
Luminati Aerospace LLC (1),LI,Scientific R & D,Jobs Track,16,80,"30,000,000.00","9,000,000.00","2,000,000.00"
Luminati Aerospace LLC (2),LI,Manufacturing,Jobs Track,96,210,0.00,0.00,"5,000,000.00"
Luxottica US Holdings Corp.,LI,Back Office,Investment Track,216,10,"5,425,000.00",0.00,"547,448.00"
"Magellan Aerospace New York, Inc.",LI,Manufacturing,Jobs Track,267,13,"15,700,000.00",0.00,"688,000.00"
Matchbook Distilling Company LLC,LI,Manufacturing,Jobs Track,0,29,0.00,0.00,"350,000.00"
"mindSHIFT Technologies, Inc.",LI,Back Office,Investment Track,149,30,0.00,0.00,"1,000,000.00"
"Modern Meadow, Inc.",LI,Manufacturing,Jobs Track,37,235,0.00,0.00,"10,000,000.00"
MTEX America LLC,LI,Manufacturing,Jobs Track,0,27,0.00,0.00,"400,000.00"
Nationwide Exhibitor Services Inc.,LI,Manufacturing,Jobs Track,115,10,"4,322,000.00",0.00,"150,000.00"
"Nature�s Bounty Co., The",LI,Manufacturing,Jobs Track,"2,042",157,"142,030,000.00",0.00,"8,500,000.00"
NC Chocolate Manufacturing LLC,LI,Manufacturing,Investment Track,24,20,0.00,0.00,"250,000.00"
New York Label & Box Corp,LI,Manufacturing,Jobs Track,62,25,"4,472,000.00",0.00,"248,361.00"
"North Atlantic Industries, Inc.",LI,Manufacturing,Jobs Track,144,52,"5,150,000.00",0.00,"625,000.00"
"Novaria Holdings, LLC",LI,Manufacturing,Jobs Track,85,57,"2,950,000.00",0.00,"1,200,000.00"
"Orlandi, Inc.",LI,Manufacturing,Jobs Track,156,30,0.00,"500,000.00","400,000.00"
P&L Development of New York Corporation,LI,Manufacturing,Jobs Track,450,150,0.00,0.00,"2,668,040.00"
Perfumania Holdings Inc.,LI,Distribution,Jobs Track,305,160,"10,000,000.00",0.00,"1,977,778.00"
Photonics Industries International Inc.,LI,Manufacturing,Jobs Track,61,35,"8,250,000.00",0.00,"500,000.00"
"Piping Rock Health Products, Inc.",LI,Manufacturing,Jobs Track,4,200,0.00,0.00,"1,000,000.00"
"Positive Promotions, Inc.",LI,Manufacturing,Investment Track,500,20,"5,685,000.00",0.00,"370,000.00"
"Powertech Controls Company, Inc.",LI,Distribution,Investment Track,37,12,0.00,0.00,"267,638.00"
Precare Corporation,LI,Manufacturing,Jobs Track,26,23,0.00,0.00,"300,000.00"
"Precipart Group, Inc.",LI,Manufacturing,Investment Track,155,20,"2,999,998.00",0.00,"700,000.00"
"Purolator International, Inc.",LI,Back Office,Investment Track,89,40,"1,300,000.00",0.00,"600,000.00"
"Richner Communications, Inc.",LI,Manufacturing,Jobs Track,130,15,"2,600,000.00",0.00,"200,000.00"
Sciegen Pharmaceuticals Inc,LI,Manufacturing,Jobs Track,40,250,"19,050,000.00",0.00,"2,421,100.00"
"Select Products Holdings, LLC",LI,Manufacturing,Jobs Track,0,104,0.00,0.00,"700,000.00"
Sensaras LLC,LI,Manufacturing,Jobs Track,7,31,0.00,0.00,"175,000.00"
Sheralven Enterprises Ltd.,LI,Distribution,Jobs Track,117,75,0.00,0.00,"700,000.00"
"Softheon, Inc.",LI,Software Dev,Jobs Track,10,10,"300,000.00","400,000.00","325,050.00"
"Space-Craft Worldwide, Inc.",LI,Manufacturing,Jobs Track,85,50,0.00,0.00,"900,000.00"
"Spirit Pharmaceuticals, LLC",LI,Distribution,Jobs Track,16,147,0.00,0.00,"1,462,870.00"
"Stellae International, Inc.",LI,Distribution,Jobs Track,184,85,"19,438,670.00",0.00,"600,000.00"
Sun Labs Group LLC,LI,Manufacturing,Jobs Track,28,40,"4,100,000.00",0.00,"700,000.00"
"Sunrise Credit Services, Inc.",LI,Financial Svc,Jobs Track,320,175,0.00,0.00,"500,000.00"
"Super Sweep, Inc.",LI,Manufacturing,Jobs Track,6,29,"2,098,000.00",0.00,"200,000.00"
"Supreme Screw Products, Inc.",LI,Manufacturing,Jobs Track,38,30,"6,715,000.00",0.00,"600,000.00"
"Thuro Metal Products, Inc.",LI,Manufacturing,Investment Track,51,15,"3,263,900.00",0.00,"200,000.00"
"Top Hat Uniform, Inc.",LI,Manufacturing,Jobs Track,37,10,"400,000.00",0.00,"100,000.00"
"Two One Two New York, Inc.",LI,Manufacturing,Jobs Track,49,271,0.00,0.00,"1,500,000.00"
U.S. Nonwovens Corp (1),LI,Manufacturing,Jobs Track,350,90,0.00,0.00,"750,000.00"
U.S. Nonwovens Corp. (2),LI,Manufacturing,Jobs Track,547,120,0.00,0.00,"2,000,000.00"
"United Baking Co., Inc.",LI,Manufacturing,Jobs Track,166,58,"3,900,000.00","3,175,000.00","1,322,012.00"
Visual Citi Inc.,LI,Manufacturing,Jobs Track,75,15,"8,840,000.00",0.00,"200,000.00"
Visual Millwork & Fixture Manufacturing Inc.,LI,Manufacturing,Jobs Track,40,15,"4,315,000.00",0.00,"320,000.00"
WHTB Glass LLC,LI,Manufacturing,Jobs Track,0,143,"17,150,000.00",0.00,"1,600,000.00"
"Widex USA, Inc.",LI,Manufacturing,Jobs Track,200,50,"8,500,000.00",0.00,"1,000,000.00"
Acorda Therapeutics,MH,Scientific R & D,Jobs Track,159,190,"30,200,000.00","166,000,000.00","5,209,220.00"
AmerisourceBergen Drug Corp.,MH,Distribution,Jobs Track,0,121,"34,214,314.00",0.00,"1,000,000.00"
"Amkai, LLC",MH,Software Dev,Jobs Track,0,103,0.00,0.00,"434,140.00"
"Anellotech, Inc.",MH,Scientific R & D,Jobs Track,2,25,0.00,0.00,"250,000.00"
"Atlas Air, Inc.",MH,Back Office,Investment Track,460,50,"326,500,000.00",0.00,"8,500,000.00"
"Avon Products, Inc.",MH,Back Office,Investment Track,"1,879",0,"15,500,000.00",0.00,"310,000.00"
Cambridge Security Seals LLC,MH,Manufacturing,Jobs Track,2,30,0.00,0.00,"300,000.00"
